,continent,independence_year,life_expectancy
0,North America,,78.4
1,Asia,1919.0,45.9
2,Africa,1975.0,38.3
3,North America,,76.1
4,Europe,1912.0,71.6
5,Europe,1278.0,83.5
6,North America,,74.7
7,Asia,1971.0,74.1
8,South America,1816.0,75.1
9,Asia,1991.0,66.4
10,Oceania,,75.1
11,Antarctica,,
12,Antarctica,,
13,North America,1981.0,70.5
14,Oceania,1901.0,79.8
15,Europe,1918.0,77.7
16,Asia,1991.0,62.9
17,Africa,1962.0,46.2
18,Europe,1830.0,77.8
19,Africa,1960.0,50.2
20,Africa,1960.0,46.7
21,Asia,1971.0,60.2
22,Europe,1908.0,70.9
23,Asia,1971.0,73.0
24,North America,1973.0,71.1
25,Europe,1992.0,71.5
26,Europe,1991.0,68.0
27,North America,1981.0,70.9
28,North America,,76.9
29,South America,1825.0,63.7
30,South America,1822.0,62.9
31,North America,1966.0,73.0
32,Asia,1984.0,73.6
33,Asia,1910.0,52.4
34,Antarctica,,
35,Africa,1966.0,39.3
36,Africa,1960.0,44.0
37,North America,1867.0,79.4
38,Oceania,,
39,Europe,1499.0,79.6
40,South America,1810.0,75.7
41,Asia,-1523.0,71.4
42,Africa,1960.0,45.2
43,Africa,1960.0,54.8
44,Africa,1960.0,48.8
45,Africa,1960.0,47.4
46,Oceania,,71.1
47,South America,1810.0,70.3
48,Africa,1975.0,60.0
49,Africa,1975.0,68.9
50,North America,1821.0,75.8
51,North America,1902.0,76.2
52,Oceania,,
53,North America,,78.9
54,Asia,1960.0,76.7
55,Europe,1993.0,74.5
56,Europe,1955.0,77.4
57,Africa,1977.0,50.8
58,North America,1978.0,73.4
59,Europe,800.0,76.5
60,North America,1844.0,73.2
61,Africa,1962.0,69.7
62,South America,1822.0,71.1
63,Africa,1922.0,63.3
64,Africa,1993.0,55.8
65,Africa,,49.8
66,Europe,1492.0,78.8
67,Europe,1991.0,69.5
68,Africa,-1000.0,45.2
69,Europe,1917.0,77.4
70,Oceania,1970.0,67.9
71,South America,,
72,Europe,843.0,78.8
73,Europe,,78.4
74,Oceania,1990.0,68.6
75,Africa,1960.0,50.1
76,Europe,1066.0,77.7
77,Asia,1991.0,64.5
78,Africa,1957.0,57.4
79,Europe,,79.0
80,Africa,1958.0,45.6
81,North America,,77.0
82,Africa,1965.0,53.2
83,Africa,1974.0,49.0
84,Africa,1968.0,53.6
85,Europe,1830.0,78.4
86,North America,1974.0,64.5
87,North America,,68.1
88,North America,1821.0,66.2
89,South America,,76.1
90,Oceania,,77.8
91,South America,1966.0,64.0
92,Asia,,79.5
93,Antarctica,,
94,North America,1838.0,69.9
95,Europe,1991.0,73.7
96,North America,1804.0,49.2
97,Europe,1918.0,71.4
98,Asia,1945.0,68.0
99,Asia,1947.0,62.5
100,Africa,,
101,Europe,1921.0,76.8
102,Asia,1906.0,69.7
103,Asia,1932.0,66.5
104,Europe,1944.0,79.4
105,Asia,1948.0,78.6
106,Europe,1861.0,79.0
107,North America,1962.0,75.2
108,Asia,1946.0,77.4
109,Asia,-660.0,80.7
110,Asia,1991.0,63.2
